,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility,Volatility,Max_Drawdown,Max_Drawdown,Max_Drawdown,Max_Drawdown,Max_Drawdown,Max_Drawdown,Max_Drawdown,Max_Drawdown,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Beta,Liquidity,Liquidity,Liquidity,Liquidity,Liquidity,Liquidity,Liquidity,Liquidity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Risk_Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alto,3.0,0.7163527142998206,0.13929938022239724,0.5930365992687697,0.6408046483191354,0.6885726973695012,0.778010771815346,0.8674488462611908,3.0,0.6833021882617581,0.19064436832814569,0.5217391342923179,0.5781651703038143,0.6345912063153107,0.7640837152464782,0.8935762241776457,3.0,2.3969919081935456,0.6002984864260998,1.880806740329547,2.0676190533587033,2.2544313663878595,2.655084492125545,3.055737617863231,3.0,32.34480004,9.421378142223032,25.619634519999998,26.96075706,28.301879600000003,35.707382800000005,43.112886
Baixo,28.0,0.2909262358013506,0.07699897626450956,0.14830079729572818,0.2507164801967598,0.2776337460376503,0.3148459346720077,0.5297310738246339,28.0,0.26492202866641734,0.09599330127178844,0.1063198788659393,0.23220303250720112,0.25418685099520044,0.3302271779080933,0.49037877419409703,28.0,0.9266321219592425,0.25144795606088804,0.32574085004804676,0.7983017336359683,0.9990779924860914,1.1070462872697164,1.2715676346820426,28.0,7.561663063571428,3.647290482356436,1.7708772,4.8248029,7.6199102,8.988014699999999,18.70223
Muito Alto,1.0,2.244362270930019,,2.244362270930019,2.244362270930019,2.244362270930019,2.244362270930019,2.244362270930019,1.0,0.9598717934046036,,0.9598717934046036,0.9598717934046036,0.9598717934046036,0.9598717934046036,0.9598717934046036,1.0,1.136233274532017,,1.136233274532017,1.136233274532017,1.136233274532017,1.136233274532017,1.136233274532017,1.0,3.714791768,,3.714791768,3.714791768,3.714791768,3.714791768,3.714791768
Muito Baixo,7.0,0.25102555934202364,0.049603308480142425,0.20259498684400612,0.21652241708028677,0.23920360752511136,0.2709726946710842,0.34039009752230626,7.0,0.22668878390037298,0.03689676857198041,0.1972527870251748,0.2007026038720212,0.208296329041594,0.24597028653787306,0.2879265904160533,7.0,1.0383190960771531,0.31963957253989395,0.7044403986593318,0.8408447132962693,0.9579757625773192,1.1447606110112818,1.6346068626883175,7.0,33.051455199428574,8.036495907657958,23.864578,26.943609998,32.71403,37.0820048,46.730348799999994
Médio,8.0,0.4621105840108021,0.11594355758314147,0.34291545430067105,0.37582944245841726,0.4558485629300577,0.48780012051567656,0.6910477162555594,8.0,0.4005820702203698,0.07588126573584977,0.28294399605552323,0.3675717176296134,0.40346489655843887,0.42797113675604964,0.5401255975105705,8.0,1.7965492211314131,0.20930329805431985,1.5089137520992657,1.614533805598132,1.8391269649837672,1.9802458301993018,2.0218524987737476,8.0,10.7729759545,5.231056404887018,5.101334,6.010435899999999,10.071985338000001,14.16798,19.58697216
